route_id,airline_code,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
12874,AZ,596,FCO,1555,OTP,1657,,0,32S 319
12875,AZ,596,FCO,1555,PMO,1512,,0,E75 32S 320 321 319
12876,AZ,596,FCO,1555,PRG,1587,,0,32S
12877,AZ,596,FCO,1555,PSA,1562,,0,319 E75
12878,AZ,596,FCO,1555,PVG,3406,Y,0,332
12879,AZ,596,FCO,1555,REG,1514,,0,320 319
12880,AZ,596,FCO,1555,RIX,3953,Y,0,73C
12881,AZ,596,FCO,1555,RUH,2082,Y,0,320
12882,AZ,596,FCO,1555,SKG,1486,,0,E75 E90
12883,AZ,596,FCO,1555,SKP,1737,,0,E75
12884,AZ,596,FCO,1555,SOF,1194,,0,321 319
12885,AZ,596,FCO,1555,SUF,1508,,0,32S 321 320 319
12886,AZ,596,FCO,1555,SVO,2985,,0,32S 319 321
12887,AZ,596,FCO,1555,SXB,1435,,0,ER4 CR7
12888,AZ,596,FCO,1555,TBS,3973,,0,E90
12889,AZ,596,FCO,1555,TGD,1741,,0,E75 100
12890,AZ,596,FCO,1555,TIA,1190,,0,32S 319 E90 E75
12891,AZ,596,FCO,1555,TIP,1157,,0,319
12892,AZ,596,FCO,1555,TLS,1273,,0,E75
12893,AZ,596,FCO,1555,TLV,1590,,0,321 32S
12894,AZ,596,FCO,1555,TRN,1526,,0,32S 319 320 E75
12895,AZ,596,FCO,1555,TRS,1545,,0,32S 319 E75 320
12896,AZ,596,FCO,1555,TUN,287,,0,32S 319 E90 E75
12897,AZ,596,FCO,1555,VCE,1551,,0,E90 32S E75 319 320
12898,AZ,596,FCO,1555,VIE,1613,,0,319 E90 E75
12899,AZ,596,FCO,1555,VLC,1246,,0,32S
12900,AZ,596,FCO,1555,VRN,1550,,0,32S E75 319
12901,AZ,596,FCO,1555,WAW,679,,0,32S
12902,AZ,596,FCO,1555,YYZ,193,,0,332
12903,AZ,596,FCO,1555,ZRH,1678,,0,E75 E90 32S
12904,AZ,596,FLL,3533,ATL,3682,Y,0,757
12905,AZ,596,FLR,1563,AMS,580,,0,E90
12906,AZ,596,FLR,1563,CDG,1382,Y,0,318
12907,AZ,596,FLR,1563,FCO,1555,,0,319
12908,AZ,596,FLR,1563,GVA,1665,Y,0,S20
12909,AZ,596,FRA,340,FCO,1555,,0,319 E75 E90 32S
12910,AZ,596,FRA,340,HAN,3199,Y,0,777
12911,AZ,596,FRA,340,LIN,1529,Y,0,E75
12912,AZ,596,FRA,340,SGN,3205,Y,0,777
12913,AZ,596,FRU,2912,SVO,2985,,0,319
12914,AZ,596,FSC,1323,MRS,1353,,0,AT7
12915,AZ,596,FSC,1323,NCE,1354,Y,0,AT7
12916,AZ,596,GDL,1804,ATL,3682,Y,0,320
12917,AZ,596,GIG,2560,FCO,1555,,0,330
12918,AZ,596,GLA,534,AMS,580,Y,0,737
12919,AZ,596,GNV,3472,ATL,3682,Y,0,CR9 CR7
12920,AZ,596,GOA,1528,CDG,1382,Y,0,E70 E90
12921,AZ,596,GOA,1528,FCO,1555,,0,319 32S E75 320 E90
12922,AZ,596,GOA,1528,TIA,1190,Y,0,320
12923,AZ,596,GOT,687,CDG,1382,Y,0,E90 E70
12924,AZ,596,GPT,4038,ATL,3682,Y,0,M88
12925,AZ,596,GRU,2564,FCO,1555,,0,772
12926,AZ,596,GSP,4034,ATL,3682,Y,0,M88 319 717
12927,AZ,596,GVA,1665,FCO,1555,,0,32S E75 319 E90
12928,AZ,596,GVA,1665,FLR,1563,Y,0,S20
12929,AZ,596,GYD,2922,FCO,1555,Y,0,319
12930,AZ,596,GYD,2922,MXP,1524,Y,0,320
12931,AZ,596,HAJ,352,AMS,580,Y,0,E90 F70
12932,AZ,596,HAJ,352,CDG,1382,Y,0,E70
12933,AZ,596,HAM,342,AMS,580,Y,0,737 E90 F70 EMJ
12934,AZ,596,HAM,342,CDG,1382,Y,0,321 318 320 32A
12935,AZ,596,HAN,3199,CDG,1382,Y,0,777
12936,AZ,596,HAN,3199,FRA,340,Y,0,777
12937,AZ,596,HEL,421,AMS,580,Y,0,737
12938,AZ,596,HKG,3077,CDG,1382,Y,0,77W
12939,AZ,596,HOU,3566,ATL,3682,Y,0,M88
12940,AZ,596,HSV,4113,ATL,3682,Y,0,M88
12941,AZ,596,HUY,515,AMS,580,Y,0,F70
12942,AZ,596,IAD,3714,ATL,3682,Y,0,320 M88
12943,AZ,596,IAD,3714,CDG,1382,Y,0,388 77W
12944,AZ,596,IAH,3550,ATL,3682,Y,0,M88 717
12945,AZ,596,IAH,3550,CDG,1382,Y,0,77W
12946,AZ,596,IAS,1655,BLQ,1538,,0,733
12947,AZ,596,IAS,1655,FCO,1555,Y,0,733
12948,AZ,596,IAS,1655,OTP,1657,Y,0,AT7 AT5
12949,AZ,596,IAS,1655,TRN,1526,,0,733
12950,AZ,596,IBZ,1225,MAD,1229,Y,0,E90
12951,AZ,596,ICN,3930,MXP,1524,Y,0,744
12952,AZ,596,ICT,3457,ATL,3682,Y,0,CR7
12953,AZ,596,IKA,4330,FCO,1555,,0,320
12954,AZ,596,ILM,3845,ATL,3682,Y,0,CRJ
12955,AZ,596,IND,3585,ATL,3682,Y,0,M88 M90
12956,AZ,596,IST,1701,FCO,1555,,0,32S 321 320
12957,AZ,596,JAN,3580,ATL,3682,Y,0,717
12958,AZ,596,JAX,3712,ATL,3682,Y,0,757
12959,AZ,596,JED,2072,FCO,1555,Y,0,320
12960,AZ,596,JED,2072,MXP,1524,Y,0,320
12961,AZ,596,JFK,3797,ATL,3682,Y,0,752 319 M88 738
12962,AZ,596,JFK,3797,CDG,1382,Y,0,332 388 772 343
12963,AZ,596,JFK,3797,FCO,1555,,0,772 330
12964,AZ,596,JFK,3797,MEX,1824,Y,0,738
12965,AZ,596,JFK,3797,MSY,3861,Y,0,CR9
12966,AZ,596,JFK,3797,MXP,1524,,0,330
12967,AZ,596,JFK,3797,VCE,1551,Y,0,764
12968,AZ,596,JFK,3797,YUL,146,Y,0,ERJ
12969,AZ,596,JFK,3797,YYZ,193,Y,0,CR7
12970,AZ,596,JNB,813,AUH,2179,,0,332
12971,AZ,596,JNB,813,CDG,1382,Y,0,388
12972,AZ,596,KBP,2939,FCO,1555,,0,32S
12973,AZ,596,KHI,2206,AUH,2179,,0,320
